#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3CBB6
#Date Time: 2026-08-17 17:35:54.093
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-1.373545741324921e-05,12.0113591430938,12.03256190372869
-1.371545741324921e-05,12.01504644557573,12.0362697646287
-1.369545741324921e-05,12.0113591430938,12.0362697646287
-1.367545741324921e-05,12.0113591430938,12.03256190372869
-1.365545741324921e-05,12.00767184061187,12.02143832102867
-1.363545741324921e-05,12.00767184061187,12.02885404282869
-1.361545741324921e-05,12.00767184061187,12.02514618192868
-1.359545741324921e-05,12.00767184061187,12.02885404282869
-1.357545741324921e-05,12.01504644557573,12.02514618192868
-1.355545741324921e-05,12.000297235648,12.02885404282869
-1.353545741324921e-05,12.000297235648,12.02885404282869
-1.351545741324921e-05,12.0113591430938,12.03256190372869
-1.349545741324921e-05,12.00398453812993,12.02885404282869
-1.347545741324921e-05,12.000297235648,12.04739334732873
-1.345545741324921e-05,12.00398453812993,12.02885404282869
-1.343545741324921e-05,11.99292263068414,12.03997762552871
-1.341545741324921e-05,12.000297235648,12.0362697646287
-1.339545741324921e-05,12.0113591430938,12.03997762552871
-1.337545741324921e-05,12.000297235648,12.02885404282869
-1.335545741324921e-05,11.99292263068414,12.02885404282869
-1.333545741324921e-05,12.0113591430938,12.02514618192868
-1.331545741324921e-05,12.000297235648,12.0362697646287
-1.329545741324921e-05,12.00767184061187,12.04368548642872
-1.327545741324921e-05,12.00767184061187,12.04368548642872
-1.325545741324921e-05,12.0113591430938,12.02885404282869
-1.323545741324921e-05,12.00767184061187,12.03997762552871
-1.321545741324921e-05,12.01873374805766,12.03256190372869
-1.319545741324921e-05,12.02610835302153,12.04739334732873
-1.317545741324921e-05,12.01873374805766,12.03997762552871
-1.315545741324921e-05,12.0224210505396,12.0362697646287
-1.313545741324921e-05,12.01504644557573,12.03256190372869
-1.311545741324921e-05,12.01504644557573,12.02514618192868
-1.309545741324921e-05,12.0113591430938,12.02885404282869
-1.307545741324921e-05,12.01504644557573,12.02514618192868
-1.305545741324921e-05,12.01873374805766,12.03997762552871
-1.303545741324921e-05,12.0113591430938,12.02143832102867
-1.301545741324921e-05,12.0334829579854,12.02514618192868
-1.299545741324921e-05,12.0224210505396,12.03997762552871
-1.297545741324921e-05,12.01504644557573,12.03256190372869
-1.295545741324921e-05,12.01504644557573,12.02514618192868
-1.293545741324921e-05,12.01504644557573,12.02885404282869
-1.291545741324921e-05,12.02979565550346,12.01773046012866
-1.289545741324921e-05,12.0224210505396,12.0362697646287
-1.287545741324921e-05,12.00767184061187,12.02885404282869
-1.285545741324921e-05,12.00767184061187,12.03256190372869
-1.283545741324921e-05,12.00398453812993,12.02514618192868
-1.281545741324921e-05,12.000297235648,12.0362697646287
-1.279545741324921e-05,12.0113591430938,12.02885404282869
-1.277545741324921e-05,11.99660993316607,12.03256190372869
-1.275545741324921e-05,12.00767184061187,12.02143832102867
-1.273545741324921e-05,12.01504644557573,12.02143832102867
-1.271545741324921e-05,12.01504644557573,12.03256190372869
-1.269545741324921e-05,12.00767184061187,12.02885404282869
-1.267545741324921e-05,12.0113591430938,12.02514618192868
-1.265545741324921e-05,12.02610835302153,12.0362697646287
-1.263545741324921e-05,12.00767184061187,12.02514618192868
-1.261545741324921e-05,12.0224210505396,12.02143832102867
-1.259545741324921e-05,12.0113591430938,12.0362697646287
-1.257545741324921e-05,12.01504644557573,12.02885404282869
